DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P51;P771;P772;P773;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S9A2;P779S14;P780;P780S2;P780S2A1;P780S3;P780S3A1;P780S4;P780S4A1;FEX_C
7243884;6;1;6;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;5,36764484491441
7243889;6;1;6;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;3,15491269167819
7243891;3;1;3;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;26,9559034521808
7243892;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;39,2460316064977
7243893;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;47,6555981799445
7243894;3;1;3;2;1;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;29,5462136123939
7243894;4;1;4;2;1;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;29,5462136123939
7243896;4;1;4;2;9;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;6,76722879617129
7243910;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;15,7026010649707
7244552;7;1;7;5;1;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;485,349250726556
7244563;7;1;7;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;269,672935828377
7244564;3;1;3;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;248,891424489045
7244564;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;248,891424489045
7244567;4;1;4;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ;1;1; ; ; ; ; ; ;2; ;2; ;2; ;806,005499989503
7244593;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;272,062283129444
7244596;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;113,823402751841
7244598;5;1;5;1; ; ;1;1;3; ; ;3000;1;3; ; ;1500;1;3; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;81,163272559393
7244601;4;1;4;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;386,685076258882
7244602;3;1;3;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;1;2;406,782500282177
7244604;3;1;3;1; ; ;3;1;3; ; ;3000;1;3; ; ;1500;1;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;1;257,17465571921
7244605;3;1;3;1; ; ;4;2; ; ; ; ;1;3; ; ;1500;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;283,080032087722
7244606;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;217,174220050898
7244606;8;1;8;1; ; ;5;2; ; ; ; ;2; ; ; ; ;1;7; ; ; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;217,174220050898
7244613;4;1;4;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;69,3862948539633
7244613;4;2;4;5;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;69,3862948539633
7244613;5;3;5;2;2;8; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;69,3862948539633
7244613;4;4;4;2;2;8; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;69,3862948539633
7244632;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;188,265584573579
7244633;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;144,211246356753
7244634;5;1;5;1; ; ;3;1;3; ; ;3000;1;3; ; ;3000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;179,938346319595
7244635;3;1;3;2;2;8; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;154,865881589068
7244635;4;1;4;2;2;8; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;154,865881589068
7244642;3;1;3;1; ; ;1;1;3; ; ;20000;1;3; ; ;6000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;137,59126261485
7244642;4;1;4;5;2;6; ;1;4; ; ; ;1;4; ; ; ;2; ;2;20;2; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;137,59126261485
7244644;3;1;3;1; ; ;1;1;3; ; ;20000;1;3; ; ;5000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;170,990965599361
7244646;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;154,553758938756
7244647;3;1;3;1; ; ;1;1;3; ; ;20000;1;3; ; ;5000;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;205,77980927794
7244647;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;205,77980927794
7244651;4;1;4;1; ; ;1;1;3; ; ;15000;1;3; ; ;5000;2; ;2;30;1; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;215,989763618587
7244731;3;1;3;1; ; ;5;1;4; ; ; ;1;4; ; ; ;2; ;2;60;8; ; ; ; ; ; ; ;1;1;1;1; ; ;1;1;1;1;1;2; ; ; ; ; ; ;2; ;2; ;2; ;994,902693601167
7244739;3;1;3;2;1;6; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;11,435423104671
7244774;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;115,465412374952
7244822;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;163,669181996775
7244828;4;1;4;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;80,9788971126562
7244837;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;8,39710161467937
7244841;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;1; ; ;1;1;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;19,7730519318956
7244841;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;19,7730519318956
7244842;3;1;3;1; ; ;1;1;3; ; ;15000;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1;1;2;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;15,6745534826682
7244872;3;1;3;2;1;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;27,730430266838
7244881;4;1;4;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;92,4607451387446
7244882;5;1;5;2;2;5; ;2; ; ; ; ;2; ; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;109,129340831581
7244884;3;1;3;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;85,8145360680314
7244890;4;1;4;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;3; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;43,5167224968721
7244891;4;1;4;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;52,5739474542761
7244892;4;1;4;5;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;39,7975546973218
7244898;5;1;5;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;36,9332569777218
7244899;4;1;4;5;2;5; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;38,819630506578
7244900;3;1;3;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;53,3961280944444
7244902;5;1;5;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;42,4580094041422
7244936;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;92,0630227515146
7244952;4;1;4;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;85,5482141471363
7244956;4;1;4;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;150,537215726888
7244962;4;1;4;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;131,274795302971
7244963;4;1;4;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;123,280993518326
7244968;3;1;3;5;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;154,756329535038
7244982;3;1;3;3;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ;1;1; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;267,398793848283
7244984;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;642,048951430334
7244988;3;1;3;1; ; ;5;1;1; ; ; ;1;1; ; ; ;2; ;2;40;1; ; ; ; ; ; ; ;1;1; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;394,118034938729
7245002;5;1;5;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;78,7584055074561
7245003;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;3;1;3; ; ;1;2; ; ;1;2;1;3;1;1; ; ;1;3; ; ; ; ;2; ;1;2;2; ;96,6953596545011
7245008;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;109,122061423597
7245009;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;133,216221357479
7245010;5;1;5;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;71,5599447032341
7245010;6;1;6;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;71,5599447032341
7245011;7;1;7;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;17,6418410528745
7245012;2;1;2;3;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;3; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;18,8816252980109
7245012;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;3; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;18,8816252980109
7245014;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;101,644366456002
7245016;3;1;3;1; ; ;1;1;3; ; ;10000;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ;2; ;2; ;2; ;86,0299064730933
7245020;5;1;5;2;9;4; ;1;3; ; ;2000;1;3; ; ;2000;1;2; ; ; ; ;1;2; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;1;2;2; ;16,2971747381674
7245021;4;1;4;1; ; ;1;1;3; ; ;5000;1;3; ; ;3000;1;2; ; ; ; ;1;2;1;1;1;3;1;1; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;1;2;1;2;35,6288380726477
7245022;3;1;3;1; ; ;2;1;3; ; ;1000;1;3; ; ;1000;1;1; ; ; ; ;1;1;1;1; ; ;1;1; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;1;2;1;2;92,177251280183
7245029;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;86,9415737994985
7245031;2;1;2;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;82,9110519207681
7245047;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;116,838124943933
7245047;6;1;6;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;116,838124943933
7245051;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;139,578484430876
7245052;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;3;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;70,8697968314768
7245053;5;1;5;1; ; ;1;1;3; ; ;5000;1;3; ; ;5000;1;1; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;35,9759700730881
7245081;5;1;5;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ;1;2; ; ; ; ;2; ;2; ;2; ;4,27025821099458
7245083;5;1;5;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;3;1;3; ; ;1;1; ; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2,70173359617863
7245083;9;1;9;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2,70173359617863
7245092;4;1;4;2;1;6; ;1;3; ; ;5000;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2; ; ;1;2; ; ; ; ;2; ;2; ;1;2;2,83951589701944
7245096;5;1;5;2;1;5; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1;1;1; ; ;1;2; ; ; ; ;2; ;2; ;2; ;3,92324290511528
7245099;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;4,70325974443316
7245104;4;1;4;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2,59647075290903
7245112;2;1;2;2;2;2; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;6,04326358255162
7245112;3;1;3;2;2;2; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;6,04326358255162
7245113;3;1;3;2;2;2; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;8,79079897855335
7245114;3;1;3;1; ; ;5;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;6,33658326293702
7245118;3;1;3;2;1;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;33,0277972058221
7245118;4;1;4;2;1;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;33,0277972058221
7245120;7;1;7;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;13,0150409610551
7245125;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;10,1515898113323
7245125;4;1;4;3;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;10,1515898113323
7245126;7;1;7;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;6,24896046222587
7245126;8;1;8;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;6,24896046222587
7245127;5;1;5;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;6,24896046222587
7245128;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;21,8203194849126
7245129;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;7,7115207164321
7245130;4;1;4;5;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;3,95054856232971
7245131;4;1;4;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;7,66964187493108
7245132;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;3,95054856232971
7245133;4;1;4;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;6,95406140404569
7245134;4;1;4;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1,98929395584161
7245135;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;64,1827721546427
